location,macro_suburb,property_percentile,taxi_routes,civic_responsiveness_percentile,healthcare_facilities_5km,median_gv,region,safety_score,school_count,risk_profile
Big Bay,unknown,91.8,66,54,1,2250000,Blaauwbergstrand,26,0,Higher reported crime
Bishop Lavis,unknown,12,9,17,20,3.00E+05,Northern Suburb,31,10,Higher reported crime
Bishopscourt,Constantia,98.9,1,54,9,12500000,Southern suburbs,77,0,Lower reported crime
Bizweni,unknown,71,2,17,6,2250000,helderberg,75,1,Lower reported crime
Blaauwbergstrand,Bloubergstrand,93.2,66,55,1,3250000,Blaauwbergstrand,26,0,Higher reported crime
Blommendal,Bellville,64.3,0,17,11,2250000,Northern Suburb,43,0,Moderate reported crime
Blomtuin,Bellville,54.9,4,55,10,1250000,Northern Suburb,43,0,Moderate reported crime
Blouberg Rise,Bloubergstrand,70.1,62,3,2,2250000,Blaauwbergstrand,26,4,Higher reported crime
Blouberg Sands,Bloubergstrand,72.4,51,55,2,1250000,Blaauwbergstrand,26,0,Higher reported crime
Bloubergrant,unknown,86.8,64,7,2,2750000,Blaauwbergstrand,26,0,Higher reported crime
Bluewater Estate,Kommetjie,85.1,0,71,0,2750000,S penisula,50,0,Moderate reported crime
Bo Oakdale,Bellville,49.8,12,17,9,1250000,Northern Suburb,43,0,Moderate reported crime
Bongweni,Khayelitsha,9.9,0,10,0,3.00E+05,cape flats,50,0,Moderate reported crime
Bonnie Brae,Kraaifontein,38.6,0,55,9,1250000,Northern Suburb,19,0,Higher reported crime
Bosbell,unknown,59.8,21,56,10,1750000,Northern Suburb,43,0,Moderate reported crime
Boskloof Eco Estate,unknown,69.7,0,46,0,1878183.962,helderberg,50,0,Moderate reported crime
Bosonia,unknown,57.7,30,18,6,7.00E+05,Northern Suburb,29,1,Higher reported crime
Boston,Bellville,56.8,4,18,11,1750000,Northern Suburb,43,3,Moderate reported crime
Bothasig,Parow,55.2,17,18,7,1750000,Northern Suburb,88,5,Lower reported crime
Bracken Heights,Brackenfell,58.1,0,56,8,1250000,Northern Suburb,87,0,Lower reported crime
Brackenfell Central,Brackenfell,55.6,34,18,9,1469767.442,Northern Suburb,87,1,Lower reported crime
Brackenfell South,Brackenfell,52,12,56,7,1250000,Northern Suburb,87,1,Lower reported crime
Braeview,unknown,87.1,9,56,3,3250000,helderberg,75,0,Lower reported crime
Bridgetown,Athlone,21.9,37,18,25,7.00E+05,cape flats,31,7,Higher reported crime
Bridgewater,unknown,62.5,27,48,7,1250000,helderberg,75,0,Lower reported crime
Briza,Briza ,80.4,8,57,3,2250000,helderberg,75,1,Lower reported crime
Brooklyn,Milnerton,34.1,154,57,18,7.00E+05,Blaauwbergstrand,20,3,Higher reported crime
Buh-Rein Estate,Kraaifontein,47,0,57,7,9.00E+05,Northern Suburb,19,0,Higher reported crime
Burgundy,unknown,67.3,0,57,8,1750000,Northern Suburb,87,1,Lower reported crime
Burgundy Estate,Parow,64.5,2,58,5,1250000,Northern Suburb,42,2,Moderate reported crime
Camps Bay,Atlantic Seaboard,99.2,10,58,3,12500000,Atlantic,46,3,Moderate reported crime
Cape Town City Centre,Cape Town City Centre,96.8,202,58,9,1750000,Cape Town City Centre,31,5,Higher reported crime
Capri,Kommetjie,85.1,0,71,0,2750000,S penisula,50,0,Moderate reported crime
Century City,Century City,85.9,27,59,10,2750000,Blaauwbergstrand,7,2,Higher reported crime
Chantecler,unknown,78.1,2,19,7,2750000,Northern Suburb,61,0,Moderate reported crime
Churchill Estate,Parow,49,4,59,16,1250000,Northern Suburb,42,2,Moderate reported crime
Clara Anna Fontein,Durbanville,97.1,0,20,2,3250000,Northern Suburb,61,0,Moderate reported crime
